recordID,campaign,surveyID,starttime,endtime,today,enumeratorID,deviceID,plotID,province,district,road_type,gps_origin,latitude,longitude,altitude,accuracy,bearing,bearing_te,picture,field_acce,hab,hab_perc,hab_parth_presence,hab_parth_abundance,hab_parth_phenology,hab_crop_irrigation,hab_crop_type,hab_crop_pheno,hab_forest_type,hab_veg_abundance,zygo_prese,zygo_defol,final_comm
292,1,e5c16496-7772-45a4-bd0f-577b92697a4a,12/12/2018 15:20,12/12/2018 15:25,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-a71fe938-8d35-41a7-a8a8-c60dddb3d46a,punjab,jhelum,National,33.09847353491932 73.44208689406514 367.0 5.0,33.09847353,73.44208689,367,5,NA,,1544610094139.jpg,,Bare areas,30,yes,20-40%,Senescence,,,,,,no,none,
6,1,04931edb-f679-44de-88c2-7e926ec9e92e,12/12/2018 15:28,12/12/2018 15:32,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-c87808ed-dced-4614-9cbe-c914f9144799,punjab,jhelum,National,33.117108810693026 73.44545256346464 373.0 5.0,33.11710881,73.44545256,373,5,NA,,1544610620872.jpg,,Grassland,50,yes,10-20%,Senescence,,,,,,no,none,
159,1,04931edb-f679-44de-88c2-7e926ec9e92e,12/12/2018 15:28,12/12/2018 15:32,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-c87808ed-dced-4614-9cbe-c914f9144799,punjab,jhelum,National,33.117108810693026 73.44545256346464 373.0 5.0,33.11710881,73.44545256,373,5,NA,,1544610620872.jpg,,Forest,15,yes,10-20%,Senescence,,,,Natural or semi-natural,,no,none,
901,1,04931edb-f679-44de-88c2-7e926ec9e92e,12/12/2018 15:28,12/12/2018 15:32,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-c87808ed-dced-4614-9cbe-c914f9144799,punjab,jhelum,National,33.117108810693026 73.44545256346464 373.0 5.0,33.11710881,73.44545256,373,5,NA,,1544610620872.jpg,,Bare areas,35,yes,10-20%,Senescence,,,,,,no,none,
7,1,ea09499e-a98c-40c3-8852-ce763ac75684,12/12/2018 15:49,12/12/2018 15:54,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-eb774f18-0aa8-4578-8042-3a04997dbe83,punjab,jhelum,National,33.127323291264474 73.4305446781218 385.0 5.0,33.12732329,73.43054468,385,5,NA,,1544611858780.jpg,,Field crop - planted,80,no,0,,rainfed,wheat,emergence,,,no,none,Parthenium presents only on bare land
160,1,ea09499e-a98c-40c3-8852-ce763ac75684,12/12/2018 15:49,12/12/2018 15:54,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-eb774f18-0aa8-4578-8042-3a04997dbe83,punjab,jhelum,National,33.127323291264474 73.4305446781218 385.0 5.0,33.12732329,73.43054468,385,5,NA,,1544611858780.jpg,,Bare areas,20,yes,10-20%,Ripening of seeds,,,,,,no,none,Parthenium presents only on bare land
5052,1,59b8859d-14d2-46ca-9f4f-65d3bffb5ef9,12/12/2018 16:09,12/12/2018 16:12,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-aa39b478-f3b5-43d9-95c8-ff50fb5e4f02,punjab,jhelum,District,33.05939089972526 73.45800077542663 307.0 4.0,33.0593909,73.45800078,307,4,NA,,1544613026510.jpg,,Forest,80,no,0,,,,,Natural or semi-natural,,,,
5137,1,59b8859d-14d2-46ca-9f4f-65d3bffb5ef9,12/12/2018 16:09,12/12/2018 16:12,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-aa39b478-f3b5-43d9-95c8-ff50fb5e4f02,punjab,jhelum,District,33.05939089972526 73.45800077542663 307.0 4.0,33.0593909,73.45800078,307,4,NA,,1544613026510.jpg,,Bare areas,20,no,0,,,,,,,,,
3545,1,10979edb-f20c-4818-b80d-0efe0874c44f,12/12/2018 16:18,12/12/2018 16:22,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-ab849e68-b823-4615-8d7f-293534c1ee19,punjab,jhelum,Local,33.05466635618359 73.44347803853452 252.0 5.0,33.05466636,73.44347804,252,5,NA,,1544613570177.jpg,,Field crop - fallow,30,yes,1-10%,Flowering majority,rainfed,,,,,no,none,
4063,1,10979edb-f20c-4818-b80d-0efe0874c44f,12/12/2018 16:18,12/12/2018 16:22,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-ab849e68-b823-4615-8d7f-293534c1ee19,punjab,jhelum,Local,33.05466635618359 73.44347803853452 252.0 5.0,33.05466636,73.44347804,252,5,NA,,1544613570177.jpg,,Field crop - planted,50,yes,1-10%,Flowering majority,rainfed,wheat,emergence,,,no,none,
4074,1,10979edb-f20c-4818-b80d-0efe0874c44f,12/12/2018 16:18,12/12/2018 16:22,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-ab849e68-b823-4615-8d7f-293534c1ee19,punjab,jhelum,Local,33.05466635618359 73.44347803853452 252.0 5.0,33.05466636,73.44347804,252,5,NA,,1544613570177.jpg,,Bare areas,20,yes,10-20%,Flowering majority,,,,,,no,none,
5076,1,bc71e42f-4850-41ac-813b-3e6c4bb34a1b,12/12/2018 16:33,12/12/2018 16:36,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-8972dd74-9486-4d2c-b363-d37640eb762a,punjab,jhelum,not paved,33.05684950668365 73.42772098258138 283.0 5.0,33.05684951,73.42772098,283,5,NA,,1544614473791.jpg,,Grassland,10,no,0,,,,,,,,,
5078,1,bc71e42f-4850-41ac-813b-3e6c4bb34a1b,12/12/2018 16:33,12/12/2018 16:36,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-8972dd74-9486-4d2c-b363-d37640eb762a,punjab,jhelum,not paved,33.05684950668365 73.42772098258138 283.0 5.0,33.05684951,73.42772098,283,5,NA,,1544614473791.jpg,,Forest,80,no,0,,,,,Natural or semi-natural,,,,
5193,1,bc71e42f-4850-41ac-813b-3e6c4bb34a1b,12/12/2018 16:33,12/12/2018 16:36,12/12/2018 00:00,1,3.53E+14,jhelum-2018-12-12-8972dd74-9486-4d2c-b363-d37640eb762a,punjab,jhelum,not paved,33.05684950668365 73.42772098258138 283.0 5.0,33.05684951,73.42772098,283,5,NA,,1544614473791.jpg,,Bare areas,10,no,0,,,,,,,,,
6623,1,d4faf6f4-aa57-4835-9f4d-7cd3a46cf536,13/12/2018 09:45,13/12/2018 18:25,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-d6fe6196-dcdc-4bf8-a59b-8393efe92d2a,punjab,gujranwala,Local,32.12874940596521 74.00315422564745 155.0 9.0,32.12874941,74.00315423,155,9,NA,,1544676417410.jpg,,Field crop - bare soil,95,yes,60-80%,Senescence,irrigated,,,,,no,none,
6677,1,d4faf6f4-aa57-4835-9f4d-7cd3a46cf536,13/12/2018 09:45,13/12/2018 18:25,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-d6fe6196-dcdc-4bf8-a59b-8393efe92d2a,punjab,gujranwala,Local,32.12874940596521 74.00315422564745 155.0 9.0,32.12874941,74.00315423,155,9,NA,,1544676417410.jpg,,Shrubland and woodland,5,yes,60-80%,Senescence,,,,,,no,none,
1247,1,ff985cfa-0f52-487c-8979-bcbd9fb976e0,13/12/2018 09:55,13/12/2018 18:25,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-1f65f94c-8349-4fcc-9789-9e60cae37740,punjab,gujranwala,Local,32.117717396467924 74.00547157041728 168.0 6.0,32.1177174,74.00547157,168,6,NA,,1544676987254.jpg,,"Lakes, ponds, rivers and streams",10,yes,10-20%,Flowering 30%,,,,,,no,none,
4089,1,ff985cfa-0f52-487c-8979-bcbd9fb976e0,13/12/2018 09:55,13/12/2018 18:25,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-1f65f94c-8349-4fcc-9789-9e60cae37740,punjab,gujranwala,Local,32.117717396467924 74.00547157041728 168.0 6.0,32.1177174,74.00547157,168,6,NA,,1544676987254.jpg,,Natural vegetation in wet areas,5,yes,1-10%,Flowering 30%,,,,,,no,none,
4984,1,ff985cfa-0f52-487c-8979-bcbd9fb976e0,13/12/2018 09:55,13/12/2018 18:25,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-1f65f94c-8349-4fcc-9789-9e60cae37740,punjab,gujranwala,Local,32.117717396467924 74.00547157041728 168.0 6.0,32.1177174,74.00547157,168,6,NA,,1544676987254.jpg,,Field crop - planted,85,yes,1-10%,Flowering 30%,irrigated,other cash crop (not food),maturity,,,no,none,
1643,1,0d96c5ad-fbd1-4843-8478-a2478b18fb0d,13/12/2018 10:06,13/12/2018 18:26,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-0c38cae5-0798-40fc-a870-666a834c52b0,punjab,gujranwala,Local,32.099806275218725 74.00446909479797 164.0 6.0,32.09980628,74.00446909,164,6,NA,,1544677644179.jpg,,"Lakes, ponds, rivers and streams",10,no,0,,,,,,,no,none,
1904,1,0d96c5ad-fbd1-4843-8478-a2478b18fb0d,13/12/2018 10:06,13/12/2018 18:26,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-0c38cae5-0798-40fc-a870-666a834c52b0,punjab,gujranwala,Local,32.099806275218725 74.00446909479797 164.0 6.0,32.09980628,74.00446909,164,6,NA,,1544677644179.jpg,,Natural vegetation in wet areas,5,yes,10-20%,Flowering 30%,,,,,,no,none,
4983,1,0d96c5ad-fbd1-4843-8478-a2478b18fb0d,13/12/2018 10:06,13/12/2018 18:26,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-0c38cae5-0798-40fc-a870-666a834c52b0,punjab,gujranwala,Local,32.099806275218725 74.00446909479797 164.0 6.0,32.09980628,74.00446909,164,6,NA,,1544677644179.jpg,,Field crop - planted,85,yes,1-10%,Flowering 10%,irrigated,wheat,emergence,,,no,none,
2859,1,9cf42e73-2de4-4fc9-9cc9-05972e9ef95e,13/12/2018 10:16,13/12/2018 18:26,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-63f92cc6-ce71-4601-808c-559323061b29,punjab,gujranwala,Local,32.08478829357773 73.99465413764119 164.0 7.0,32.08478829,73.99465414,164,7,NA,,1544678296743.jpg,,"Lakes, ponds, rivers and streams",10,no,0,,,,,,,no,none,
2998,1,9cf42e73-2de4-4fc9-9cc9-05972e9ef95e,13/12/2018 10:16,13/12/2018 18:26,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-63f92cc6-ce71-4601-808c-559323061b29,punjab,gujranwala,Local,32.08478829357773 73.99465413764119 164.0 7.0,32.08478829,73.99465414,164,7,NA,,1544678296743.jpg,,Natural vegetation in wet areas,5,yes,40-60%,Senescence,,,,,,no,none,
4734,1,9cf42e73-2de4-4fc9-9cc9-05972e9ef95e,13/12/2018 10:16,13/12/2018 18:26,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-63f92cc6-ce71-4601-808c-559323061b29,punjab,gujranwala,Local,32.08478829357773 73.99465413764119 164.0 7.0,32.08478829,73.99465414,164,7,NA,,1544678296743.jpg,,Field crop - planted,80,no,0,,irrigated,wheat,emergence,,,no,none,
4780,1,9cf42e73-2de4-4fc9-9cc9-05972e9ef95e,13/12/2018 10:16,13/12/2018 18:26,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-63f92cc6-ce71-4601-808c-559323061b29,punjab,gujranwala,Local,32.08478829357773 73.99465413764119 164.0 7.0,32.08478829,73.99465414,164,7,NA,,1544678296743.jpg,,Shrubland and woodland,5,yes,1-10%,Senescence,,,,,,no,none,
1320,1,02866f1f-41a0-4e72-a3b0-e9b735dc3e06,13/12/2018 10:39,13/12/2018 18:26,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-3235fc22-2a47-4d1c-949d-eaa44b3ec285,punjab,gujranwala,District,32.13203758466989 74.00248283520341 172.0 7.0,32.13203758,74.00248284,172,7,NA,,1544679634696.jpg,,Field crop - planted,90,yes,1-10%,Flowering 10%,irrigated,wheat,emergence,,,no,none,
2999,1,02866f1f-41a0-4e72-a3b0-e9b735dc3e06,13/12/2018 10:39,13/12/2018 18:26,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-3235fc22-2a47-4d1c-949d-eaa44b3ec285,punjab,gujranwala,District,32.13203758466989 74.00248283520341 172.0 7.0,32.13203758,74.00248284,172,7,NA,,1544679634696.jpg,,Natural vegetation in wet areas,10,yes,60-80%,Flowering 30%,,,,,,no,none,
2861,1,18f330b7-109a-454b-830b-b4a12467e5a6,13/12/2018 10:47,13/12/2018 18:26,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-269d980c-7244-40f1-85f6-c6a8f07897c5,punjab,gujranwala,District,32.13245894294232 73.99040996097028 171.0 9.0,32.13245894,73.99040996,171,9,NA,,1544680182014.jpg,,Field crop - planted,70,yes,10-20%,Flowering 10%,irrigated,other cash crop (not food),growth,,,no,none,
4093,1,18f330b7-109a-454b-830b-b4a12467e5a6,13/12/2018 10:47,13/12/2018 18:26,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-269d980c-7244-40f1-85f6-c6a8f07897c5,punjab,gujranwala,District,32.13245894294232 73.99040996097028 171.0 9.0,32.13245894,73.99040996,171,9,NA,,1544680182014.jpg,,Natural vegetation in wet areas,20,yes,60-80%,Senescence,,,,,,no,none,
4861,1,18f330b7-109a-454b-830b-b4a12467e5a6,13/12/2018 10:47,13/12/2018 18:26,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-269d980c-7244-40f1-85f6-c6a8f07897c5,punjab,gujranwala,District,32.13245894294232 73.99040996097028 171.0 9.0,32.13245894,73.99040996,171,9,NA,,1544680182014.jpg,,Shrubland and woodland,10,yes,1-10%,Flowering 10%,,,,,,no,none,
1319,1,112e691a-6843-47cb-8ed6-ada18f7c6b50,13/12/2018 10:56,13/12/2018 18:27,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-128f0a93-5ccc-4354-b5ac-bf1257c0d78d,punjab,gujranwala,District,32.13267867453396 73.98093438707292 174.0 7.0,32.13267867,73.98093439,174,7,NA,,1544680710796.jpg,,Bare areas,90,yes,1-10%,Rosette growth,,,,,,no,none,
4094,1,112e691a-6843-47cb-8ed6-ada18f7c6b50,13/12/2018 10:56,13/12/2018 18:27,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-128f0a93-5ccc-4354-b5ac-bf1257c0d78d,punjab,gujranwala,District,32.13267867453396 73.98093438707292 174.0 7.0,32.13267867,73.98093439,174,7,NA,,1544680710796.jpg,,Natural vegetation in wet areas,10,yes,40-60%,Flowering 10%,,,,,,no,none,
1280,1,c38ca874-923a-4665-833d-aeac54424c71,13/12/2018 11:15,13/12/2018 18:28,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-e35bf746-6180-4845-9f5a-5d3d40352e8e,punjab,gujranwala,Local,32.14509097393602 74.01428916491568 171.0 8.0,32.14509097,74.01428916,171,8,NA,,1544681795808.jpg,,Field crop - planted,80,yes,1-10%,Rosette growth,irrigated,other cash crop (not food),growth,,,no,none,
4095,1,c38ca874-923a-4665-833d-aeac54424c71,13/12/2018 11:15,13/12/2018 18:28,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-e35bf746-6180-4845-9f5a-5d3d40352e8e,punjab,gujranwala,Local,32.14509097393602 74.01428916491568 171.0 8.0,32.14509097,74.01428916,171,8,NA,,1544681795808.jpg,,Shrubland and woodland,20,no,0,,,,,,,no,none,
6466,1,f4d40e04-1e8b-4882-b30f-ff68dc1726ed,13/12/2018 11:43,13/12/2018 11:49,13/12/2018 00:00,1,3.53E+14,jhelum-2018-12-13-2a80f868-c191-4bcb-bae3-f3895d7cc096,punjab,jhelum,not paved,32.58461492601782 72.87809888832271 152.0 5.0,32.58461493,72.87809889,152,5,NA,,1544683656348.jpg,,Bare areas,70,no,0,,,,,,,,,Field is filled with rain water
6468,1,f4d40e04-1e8b-4882-b30f-ff68dc1726ed,13/12/2018 11:43,13/12/2018 11:49,13/12/2018 00:00,1,3.53E+14,jhelum-2018-12-13-2a80f868-c191-4bcb-bae3-f3895d7cc096,punjab,jhelum,not paved,32.58461492601782 72.87809888832271 152.0 5.0,32.58461493,72.87809889,152,5,NA,,1544683656348.jpg,,Natural vegetation in wet areas,30,no,0,,,,,,,,,Field is filled with rain water
12,1,aa4ffb8a-34a1-452e-a551-65b4f2e8c752,13/12/2018 12:02,13/12/2018 12:08,13/12/2018 00:00,1,3.53E+14,jhelum-2018-12-13-f63364d7-cf14-47be-90ce-baec5f128249,punjab,jhelum,path,32.599814124405384 72.87287889048457 164.0 5.0,32.59981412,72.87287889,164,5,NA,,1544684634578.jpg,,Field crop - planted,70,no,0,,rainfed,rapeseed,growth,,,,,Parthenium is not present near salt range
165,1,aa4ffb8a-34a1-452e-a551-65b4f2e8c752,13/12/2018 12:02,13/12/2018 12:08,13/12/2018 00:00,1,3.53E+14,jhelum-2018-12-13-f63364d7-cf14-47be-90ce-baec5f128249,punjab,jhelum,path,32.599814124405384 72.87287889048457 164.0 5.0,32.59981412,72.87287889,164,5,NA,,1544684634578.jpg,,Bare areas,15,no,0,,,,,,,,,Parthenium is not present near salt range
296,1,aa4ffb8a-34a1-452e-a551-65b4f2e8c752,13/12/2018 12:02,13/12/2018 12:08,13/12/2018 00:00,1,3.53E+14,jhelum-2018-12-13-f63364d7-cf14-47be-90ce-baec5f128249,punjab,jhelum,path,32.599814124405384 72.87287889048457 164.0 5.0,32.59981412,72.87287889,164,5,NA,,1544684634578.jpg,,Agroforestry,15,no,0,,,,,,,,,Parthenium is not present near salt range
1292,1,937f269c-a52c-47ae-9208-c8b594cd5e3e,13/12/2018 12:14,13/12/2018 18:28,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-26b67733-ac25-46d2-b885-2416de09c238,punjab,gujranwala,Local,32.14787472970784 74.01097135618329 170.0 7.0,32.14787473,74.01097136,170,7,NA,,1544685305780.jpg,,Bare areas,95,yes,40-60%,Senescence,,,,,,no,none,
4096,1,937f269c-a52c-47ae-9208-c8b594cd5e3e,13/12/2018 12:14,13/12/2018 18:28,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-26b67733-ac25-46d2-b885-2416de09c238,punjab,gujranwala,Local,32.14787472970784 74.01097135618329 170.0 7.0,32.14787473,74.01097136,170,7,NA,,1544685305780.jpg,,Shrubland and woodland,5,no,0,,,,,,,no,none,
1407,1,6b7c247a-dfac-48de-a557-05d41350213c,13/12/2018 12:20,13/12/2018 18:29,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-bb72e4d9-6803-4f7b-89d7-c457030fb47d,punjab,gujranwala,Local,32.15401870664209 74.0032603405416 170.0 6.0,32.15401871,74.00326034,170,6,NA,,1544685668017.jpg,,Field crop - planted,90,no,0,,irrigated,wheat,emergence,,,no,none,
3004,1,6b7c247a-dfac-48de-a557-05d41350213c,13/12/2018 12:20,13/12/2018 18:29,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-bb72e4d9-6803-4f7b-89d7-c457030fb47d,punjab,gujranwala,Local,32.15401870664209 74.0032603405416 170.0 6.0,32.15401871,74.00326034,170,6,NA,,1544685668017.jpg,,Natural vegetation in wet areas,10,yes,20-40%,Flowering 10%,,,,,,no,none,
13,1,92113d74-4091-44c1-add4-bd7787a2d40a,13/12/2018 12:21,13/12/2018 12:25,13/12/2018 00:00,1,3.53E+14,jhelum-2018-12-13-90216cb4-c1b8-4236-ba39-8d63bc65099f,punjab,jhelum,path,32.61403020936996 72.87113302387297 163.0 5.0,32.61403021,72.87113302,163,5,NA,,1544685768854.jpg,,Field crop - planted,100,no,0,,rainfed,wheat,emergence,,,,,Parthenium is nlt present neither in field nor on edges
1894,1,570d4498-34a8-44de-b711-625c06f19d3d,13/12/2018 12:27,13/12/2018 18:29,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-735149a2-243b-4e86-a73d-6eb0fde33ace,punjab,gujranwala,Local,32.16331017203629 73.99141277186573 171.0 5.0,32.16331017,73.99141277,171,5,NA,,1544686075783.jpg,,Field crop - planted,91,no,0,,irrigated,wheat,growth,,,no,none,
3005,1,570d4498-34a8-44de-b711-625c06f19d3d,13/12/2018 12:27,13/12/2018 18:29,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-735149a2-243b-4e86-a73d-6eb0fde33ace,punjab,gujranwala,Local,32.16331017203629 73.99141277186573 171.0 5.0,32.16331017,73.99141277,171,5,NA,,1544686075783.jpg,,Shrubland and woodland,9,yes,40-60%,Flowering 30%,,,,,,no,none,
1178,1,11e9de3e-c0cd-48ed-bb7d-22428bab98bf,13/12/2018 12:32,13/12/2018 18:29,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-54e5e661-c657-47b0-bad7-c83e406838cf,punjab,gujranwala,Local,32.170409518294036 73.98262040689588 173.0 5.0,32.17040952,73.98262041,173,5,NA,,1544686414885.jpg,,Bare areas,70,yes,10-20%,Flowering 10%,,,,,,no,none,
4099,1,11e9de3e-c0cd-48ed-bb7d-22428bab98bf,13/12/2018 12:32,13/12/2018 18:29,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-54e5e661-c657-47b0-bad7-c83e406838cf,punjab,gujranwala,Local,32.170409518294036 73.98262040689588 173.0 5.0,32.17040952,73.98262041,173,5,NA,,1544686414885.jpg,,Shrubland and woodland,30,yes,20-40%,Flowering 30%,,,,,,no,none,
1179,1,b88eeabf-0d57-4d72-a943-df646c5a93a4,13/12/2018 12:40,13/12/2018 18:30,13/12/2018 00:00,1,3.53E+14,gujranwala-2018-12-13-4298f607-17af-4c4c-8924-6c8dfd2e5191,punjab,gujranwala,Local,32.172888005152345 73.97353987209499 167.0 5.0,32.17288801,73.97353987,167,5,NA,,1544686881502.jpg,,Field crop - planted,100,no,0,,irrigated,wheat,growth,,,,,
1362,1,5d649e80-1142-4db1-aaf7-ca3af6accfd7,13/12/2018 12:41,13/12/2018 12:50,13/12/2018 00:00,2,3.53E+14,swabi-2018-12-13-a9db57d3-7588-4f01-bc83-25eb341e8ec1,kpk,swabi,Local,34.134609242901206 72.45916130952537 304.0 10.0,34.13460924,72.45916131,304,10,NA,,1544687305933.jpg,,Field crop - planted,100,no,0,,irrigated,wheat,emergence,,,,,
2822,1,31810df5-4c72-4702-91a3-afb78cff1051,13/12/2018 12:41,13/12/2018 12:44,13/12/2018 00:00,1,3.53E+14,jhelum-2018-12-13-be7dd708-b132-41c3-a31d-6013e32f1701,punjab,jhelum,path,32.60985966771841 72.86791730672121 180.0 5.0,32.60985967,72.86791731,180,5,NA,,1544686961702.jpg,,Field crop - planted,85,no,0,,rainfed,wheat,emergence,,,,,
4067,1,31810df5-4c72-4702-91a3-afb78cff1051,13/12/2018 12:41,13/12/2018 12:44,13/12/2018 00:00,1,3.53E+14,jhelum-2018-12-13-be7dd708-b132-41c3-a31d-6013e32f1701,punjab,jhelum,path,32.60985966771841 72.86791730672121 180.0 5.0,32.60985967,72.86791731,180,5,NA,,1544686961702.jpg,,Field crop- margin,15,no,0,,,,,,,,,
